From	To	Species	Gene Name
Q24021	FBgn0012058	Drosophila melanogaster	Cell division cycle 27 ortholog(Cdc27)
Q24024	FBgn0010258	Drosophila melanogaster	RNA-binding protein 4(Rbp4)
Q9VNE4	FBgn0261004	Drosophila melanogaster	asterless(asl)
Q24020	FBgn0000709	Drosophila melanogaster	flightless I(fliI)
Q9VNE2	FBgn0250753	Drosophila melanogaster	krasavietz(kra)
Q24009	FBgn0000182	Drosophila melanogaster	Bicaudal C(BicC)
A4V4U5	FBgn0003423	Drosophila melanogaster	sluggish A(slgA)
Q8INS2	FBgn0037467	Drosophila melanogaster	CG1104 gene product from transcript CG1104-RC(CG1104)
Q9VVC9	FBgn0036686	Drosophila melanogaster	CG7728 gene product from transcript CG7728-RA(CG7728)
Q8MT18	FBgn0039358	Drosophila melanogaster	CG5028 gene product from transcript CG5028-RB(CG5028)
Q9VNF3	FBgn0037354	Drosophila melanogaster	CG12171 gene product from transcript CG12171-RA(CG12171)
P54357	FBgn0004687	Drosophila melanogaster	Myosin light chain cytoplasmic(Mlc-c)
P54358	FBgn0263600	Drosophila melanogaster	DNA-polymerase-delta(DNApol-delta)
P54353	FBgn0015379	Drosophila melanogaster	dodo(dod)
Q9VYZ8	FBgn0030294	Drosophila melanogaster	PTIP associated 1(Pa1)
P54351	FBgn0266464	Drosophila melanogaster	N-ethylmaleimide-sensitive factor 2(Nsf2)
Q7KV98	FBgn0266696	Drosophila melanogaster	CG45186 gene product from transcript CG45186-RT(CG45186)
Q9VPY8	FBgn0031321	Drosophila melanogaster	tRNA-guanine transglycosylase(Tgt)
P54359	FBgn0014029	Drosophila melanogaster	Septin 2(Sep2)
Q9VPY7	FBgn0031320	Drosophila melanogaster	CG5126 gene product from transcript CG5126-RA(CG5126)
Q7K1U0	FBgn0033926	Drosophila melanogaster	Activity-regulated cytoskeleton associated protein 1(Arc1)
Q24407	FBgn0016119	Drosophila melanogaster	ATP synthase, coupling factor 6(ATPsynCF6)
Q9VPZ5	FBgn0031327	Drosophila melanogaster	CG5397 gene product from transcript CG5397-RB(CG5397)
Q8IGU0	FBgn0034433	Drosophila melanogaster	Endophilin B(EndoB)
Q8IPE8	FBgn0028479	Drosophila melanogaster	Mitochondrial trifunctional protein alpha subunit(Mtpalpha)
Q9VDE5	FBgn0010770	Drosophila melanogaster	peter pan(ppan)
Q8IGU1	FBgn0051865	Drosophila melanogaster	transcriptional Adaptor 1-1(Ada1-1)
Q9VDE6	FBgn0266674	Drosophila melanogaster	Sec15 ortholog (S. cerevisiae)(Sec15)
Q9VDE4	FBgn0038857	Drosophila melanogaster	Bride of doubletime(Bdbt)
Q7K264	FBgn0033752	Drosophila melanogaster	CG8569 gene product from transcript CG8569-RA(CG8569)
P54367	FBgn0015024	Drosophila melanogaster	Casein kinase Ialpha(CkIalpha)
P54362	FBgn0001087	Drosophila melanogaster	garnet(g)
P81928	FBgn0010340	Drosophila melanogaster	upstream of RpII140(140up)
Q9VYY2	FBgn0030306	Drosophila melanogaster	Spase 25-subunit(Spase25)
Q7K1V1	FBgn0034086	Drosophila melanogaster	CG8441 gene product from transcript CG8441-RB(CG8441)
Q7KN74	FBgn0021847	Drosophila melanogaster	lethal (2) k14710(l(2)k14710)
Q8IGT8	FBgn0259749	Drosophila melanogaster	mummy(mmy)
Q7KN75	FBgn0027835	Drosophila melanogaster	Dodeca-satellite-binding protein 1(Dp1)
Q9Y0Z1	FBgn0027503	Drosophila melanogaster	CG11970 gene product from transcript CG11970-RB(CG11970)
Q8IGT0	FBgn0262125	Drosophila melanogaster	Sec23 ortholog (S. cerevisiae)(Sec23)
Q8IGT5	FBgn0038964	Drosophila melanogaster	CG13849 gene product from transcript CG13849-RA(Nop56)
Q7K1V5	FBgn0037374	Drosophila melanogaster	jagunal(jagn)
Q7K274	FBgn0021979	Drosophila melanogaster	lethal (2) k09913(l(2)k09913)
Q8IH53	FBgn0010786	Drosophila melanogaster	lethal (3) 02640(l(3)02640)
Q7KN79	FBgn0027525	Drosophila melanogaster	CG7686 gene product from transcript CG7686-RB(CG7686)
Q8MSC4	FBgn0038252	Drosophila melanogaster	Histone H1 variant BigH1(BigH1)
Q8IPH4	FBgn0041182	Drosophila melanogaster	Thioester-containing protein 2(Tep2)
Q2M1E6	FBgn0265082	Drosophila melanogaster	Chondrocyte-derived ezrin-like domain containing protein ortholog (H. sapiens)(Cdep)
Q9VQ88	FBgn0040715	Drosophila melanogaster	CG15386 gene product from transcript CG15386-RA(CG15386)
Q8IPH0	FBgn0031975	Drosophila melanogaster	Transglutaminase(Tg)
Q8IPH1	FBgn0031968	Drosophila melanogaster	CG7231 gene product from transcript CG7231-RE(CG7231)
Q9Y0Y2	FBgn0027493	Drosophila melanogaster	Adenylosuccinate Synthetase(AdSS)
Q9Y0Y5	FBgn0027496	Drosophila melanogaster	Coat Protein (coatomer) epsilon(epsilonCOP)
Q9W1X4	FBgn0010660	Drosophila melanogaster	Nucleoporin 214kD(Nup214)
Q9VQ94	FBgn0262126	Drosophila melanogaster	Sec24CD ortholog (H. sapiens)(Sec24CD)
Q9Y0Y6	FBgn0027497	Drosophila melanogaster	MLF1-adaptor molecule(Madm)
Q9Y0Y7	FBgn0027498	Drosophila melanogaster	CG2061 gene product from transcript CG2061-RD(CG2061)
Q9W293	FBgn0034694	Drosophila melanogaster	CG6613 gene product from transcript CG6613-RA(CG6613)
Q9VPX3	FBgn0031308	Drosophila melanogaster	CG4749 gene product from transcript CG4749-RA(CG4749)
P91663	FBgn0014127	Drosophila melanogaster	barren(barr)
Q8IGW7	FBgn0051184	Drosophila melanogaster	CG31184 gene product from transcript CG31184-RA(LSm3)
Q7K1S1	FBgn0033891	Drosophila melanogaster	CG8067 gene product from transcript CG8067-RB(CG8067)
Q8IH82	FBgn0040493	Drosophila melanogaster	granny smith(grsm)
P91666	FBgn0017551	Drosophila melanogaster	Regulator of cyclin A1(Rca1)
P91667	FBgn0015589	Drosophila melanogaster	APC-like(Apc)
Q7KV72	FBgn0035424	Drosophila melanogaster	CG11505 gene product from transcript CG11505-RD(CG11505)
A0T1Z4	FBgn0004049	Drosophila melanogaster	yurt(yrt)
P91664	FBgn0017578	Drosophila melanogaster	CG9648 gene product from transcript CG9648-RD(Max)
Q7KV88	FBgn0010909	Drosophila melanogaster	misshapen(msn)
Q8MSB4	FBgn0039065	Drosophila melanogaster	CG4449 gene product from transcript CG4449-RB(CG4449)
Q8MSB1	FBgn0051357	Drosophila melanogaster	CG31357 gene product from transcript CG31357-RA(CG31357)
Q9VQ96	FBgn0264979	Drosophila melanogaster	CG4267 gene product from transcript CG4267-RB(CG4267)
Q9W1X9	FBgn0034793	Drosophila melanogaster	CG13533 gene product from transcript CG13533-RA(asrij)
Q9W1X8	FBgn0267823	Drosophila melanogaster	GDP-4-keto-6-deoxy-D-mannose 3,5-epimerase/4-reductase(Gmer)
Q9W298	FBgn0034689	Drosophila melanogaster	CG2921 gene product from transcript CG2921-RA(CG2921)
Q7KN90	FBgn0027091	Drosophila melanogaster	Cysteinyl-tRNA synthetase(Aats-cys)
O17311	FBgn0023174	Drosophila melanogaster	Proteasome beta2 subunit(Prosbeta2)
Q9W1Y0	FBgn0034792	Drosophila melanogaster	CG3499 gene product from transcript CG3499-RD(CG3499)
Q9VPY0	FBgn0031314	Drosophila melanogaster	Integrator 14(IntS14)
Q9VDD7	FBgn0250820	Drosophila melanogaster	medial glomeruli(meigo)
Q9W1Y1	FBgn0034791	Drosophila melanogaster	ER Membrane protein Complex 8-9(EMC8-9)
Q9VDD9	FBgn0038861	Drosophila melanogaster	CG7009 gene product from transcript CG7009-RA(CG7009)
Q7KN99	FBgn0261285	Drosophila melanogaster	Phosphopantothenoylcysteine synthetase(Ppcs)
Q9VDD0	FBgn0038869	Drosophila melanogaster	CG3353 gene product from transcript CG3353-RA(CG3353)
P80455	FBgn0260441	Drosophila melanogaster	Ribosomal protein S12(RpS12)
Q7KUW2	FBgn0052549	Drosophila melanogaster	CG32549 gene product from transcript CG32549-RD(CG32549)
Q24439	FBgn0016691	Drosophila melanogaster	ATP synthase, oligomycin sensitivity conferring protein(ATPsynO)
Q9VDD1	FBgn0038868	Drosophila melanogaster	CG5862 gene product from transcript CG5862-RA(CG5862)
P91674	FBgn0020633	Drosophila melanogaster	Minichromosome maintenance 7(Mcm7)
Q7KV83	FBgn0035397	Drosophila melanogaster	CG11486 gene product from transcript CG11486-RM(CG11486)
P91675	FBgn0024332	Drosophila melanogaster	Minichromosome maintenance 3(Mcm3)
Q7JPT7	FBgn0002354	Drosophila melanogaster	lethal (3) 87Df(l(3)87Df)
P91676	FBgn0017577	Drosophila melanogaster	Minichromosome maintenance 5(Mcm5)
Q8IGV4	FBgn0039581	Drosophila melanogaster	CG1866 gene product from transcript CG1866-RC(Moca-cyp)
P54350	FBgn0011737	Drosophila melanogaster	Wee1 kinase(Wee1)
P18490	FBgn0003048	Drosophila melanogaster	pecanex(pcx)
Q86NV9	FBgn0041710	Drosophila melanogaster	CG18550 gene product from transcript CG18550-RC(yellow-f)
Q7KUT8	FBgn0020389	Drosophila melanogaster	PAPS synthetase(Papss)
Q8IPB1	FBgn0250837	Drosophila melanogaster	Deoxyuridine triphosphatase(dUTPase)
Q7KUT4	FBgn0036911	Drosophila melanogaster	CG8660 gene product from transcript CG8660-RF(Fibp)
Q7KUT5	FBgn0036909	Drosophila melanogaster	CG15881 gene product from transcript CG15881-RB(CG15881)
Q7KUT2	FBgn0036892	Drosophila melanogaster	Lon protease(Lon)
P02299	FBgn0051613	Drosophila melanogaster	CG31613 gene product from transcript CG31613-RA(His3:CG31613)
Q8IPA5	FBgn0052831	Drosophila melanogaster	CG33695 gene product from transcript CG33695-RC(CG33695)
Q7KMS3	FBgn0024196	Drosophila melanogaster	roadblock(robl)
Q8IGQ5	FBgn0025592	Drosophila melanogaster	Glycerol kinase(Gyk)
Q8IGQ4	FBgn0038808	Drosophila melanogaster	Signal recognition particle protein 14(Srp14)
Q7K1Y4	FBgn0033972	Drosophila melanogaster	CG12797 gene product from transcript CG12797-RA(Ciao1)
O96299	FBgn0022359	Drosophila melanogaster	Sorbitol dehydrogenase-2(Sodh-2)
Q8I7W6	FBgn0021895	Drosophila melanogaster	yantar(ytr)
Q5U117	FBgn0086712	Drosophila melanogaster	Enigma(Egm)
Q7KUU5	FBgn0031068	Drosophila melanogaster	Augmenter of liver regeneration(Alr)
P18486	FBgn0000075	Drosophila melanogaster	alpha methyl dopa-resistant(amd)
Q5U112	FBgn0026179	Drosophila melanogaster	schizo(siz)
Q7KMR7	FBgn0035631	Drosophila melanogaster	Thioredoxin-like(Txl)
Q24454	FBgn0003087	Drosophila melanogaster	pimples(pim)
Q8IPB7	FBgn0027611	Drosophila melanogaster	Lysosomal alpha-mannosidase II(LManII)
Q8MRZ0	FBgn0031640	Drosophila melanogaster	Mon1 ortholog(Mon1)
Q1KN24	FBgn0002873	Drosophila melanogaster	mushroom body defect(mud)
Q24458	FBgn0014006	Drosophila melanogaster	Apoptotic signal-regulating kinase 1(Ask1)
Q8IGP0	FBgn0039800	Drosophila melanogaster	Niemann-Pick type C-2g(Npc2g)
Q86NX0	FBgn0027609	Drosophila melanogaster	modifier of rpr and grim, ubiquitously expressed(morgue)
Q8IPB9	FBgn0051716	Drosophila melanogaster	Cnot 4 homologue(Cnot4)
Q8IGP6	FBgn0020249	Drosophila melanogaster	steamer duck(stck)
Q7K1Z5	FBgn0034061	Drosophila melanogaster	CG8386 gene product from transcript CG8386-RA(CG8386)
Q8IGP5	FBgn0032979	Drosophila melanogaster	Chromatin-linked adaptor for MSL proteins(Clamp)
Q9NCG0	FBgn0040232	Drosophila melanogaster	CENP-meta(cmet)
Q24472	FBgn0015799	Drosophila melanogaster	Retinoblastoma-family protein(Rbf)
Q5U124	FBgn0050359	Drosophila melanogaster	Maltase A5(Mal-A5)
Q9NCF9	FBgn0040233	Drosophila melanogaster	CENP-ana(cana)
P07665	FBgn0003511	Drosophila melanogaster	Serendipity beta(Sry-beta)
P02283	FBgn0061209	Drosophila melanogaster	CG17949 gene product from transcript CG17949-RA(His2B:CG17949)
Q7KXY9	FBgn0031885	Drosophila melanogaster	Menin 1(Mnn1)
Q7KUR6	FBgn0036764	Drosophila melanogaster	CG5535 gene product from transcript CG5535-RC(CG5535)
Q7K284	FBgn0033842	Drosophila melanogaster	crowded by cid(cbc)
Q7K1W4	FBgn0034406	Drosophila melanogaster	Juvenile hormone epoxide hydrolase 3(Jheh3)
Q7KN66	FBgn0027509	Drosophila melanogaster	tubulin folding cofactor D(TBCD)
Q7K1W5	FBgn0034027	Drosophila melanogaster	CG8187 gene product from transcript CG8187-RA(CG8187)
O76216	FBgn0020388	Drosophila melanogaster	Gcn5 ortholog(Gcn5)
Q7K1W8	FBgn0031673	Drosophila melanogaster	CG31650 gene product from transcript CG31650-RF(CG31650)
O62526	FBgn0025111	Drosophila melanogaster	Adenine nucleotide translocase 2(Ant2)
Q24466	FBgn0016698	Drosophila melanogaster	Phosphotyrosyl phosphatase activator(Ptpa)
Q8IGS1	FBgn0266465	Drosophila melanogaster	Germinal centre kinase III(GckIII)
Q86NY8	FBgn0030412	Drosophila melanogaster	Tomosyn ortholog(Tomosyn)
O18475	FBgn0002905	Drosophila melanogaster	mutagen-sensitive 308(mus308)
Q8IGS6	FBgn0052250	Drosophila melanogaster	Peroxisomal Membrane Protein 34(PMP34)
Q7KN63	FBgn0011336	Drosophila melanogaster	Oligosaccharyl transferase 3(OstStt3)
Q24485	FBgn0010406	Drosophila melanogaster	Ribonuclease X25(RNaseX25)
Q9NJH7	FBgn0026259	Drosophila melanogaster	CG10840 gene product from transcript CG10840-RE(eIF5B)
Q7KN55	FBgn0261458	Drosophila melanogaster	capulet(capt)
O62531	FBgn0024833	Drosophila melanogaster	Adaptor Protein complex 1, mu subunit(AP-1mu)
O76206	FBgn0014930	Drosophila melanogaster	CG2846 gene product from transcript CG2846-RA(CG2846)
Q9NJH0	FBgn0029176	Drosophila melanogaster	CG11901 gene product from transcript CG11901-RC(Ef1gamma)
Q8IGR0	FBgn0003942	Drosophila melanogaster	Ribosomal protein S27A(RpS27A)
Q24478	FBgn0000283	Drosophila melanogaster	Centrosomal protein 190kD(Cp190)
O62536	FBgn0021761	Drosophila melanogaster	Nucleoporin 154kD(Nup154)
O62530	FBgn0263351	Drosophila melanogaster	Adaptor Protein complex 2, mu subunit(AP-2mu)
Q86NZ5	FBgn0036337	Drosophila melanogaster	Adenosine Kinase(AdenoK)
Q8IH35	FBgn0027616	Drosophila melanogaster	CG12076 gene product from transcript CG12076-RA(YT521-B)
Q8IGR5	FBgn0039153	Drosophila melanogaster	CG5463 gene product from transcript CG5463-RA(CG5463)
P02255	FBgn0051617	Drosophila melanogaster	CG31617 gene product from transcript CG31617-RA(His1:CG31617)
Q7KVA9	FBgn0035244	Drosophila melanogaster	CG7955 gene product from transcript CG7955-RA(ABCB7)
Q9VZ34	FBgn0030263	Drosophila melanogaster	CG2076 gene product from transcript CG2076-RB(CG2076)
Q24491	FBgn0011305	Drosophila melanogaster	Repressor splicing factor 1(Rsf1)
Q24492	FBgn0010173	Drosophila melanogaster	Replication Protein A 70(RpA-70)
Q8MSI9	FBgn0267790	Drosophila melanogaster	rumpelstiltskin(rump)
Q00637	FBgn0010213	Drosophila melanogaster	Superoxide dismutase 2 (Mn)(Sod2)
Q9W228	FBgn0040091	Drosophila melanogaster	CG4414 gene product from transcript CG4414-RB(Ugt58Fa)
Q9VYR0	FBgn0030364	Drosophila melanogaster	CG15735 gene product from transcript CG15735-RA(CG15735)
Q9VQ28	FBgn0021906	Drosophila melanogaster	Rieske iron-sulfur protein(RFeSP)
Q9W227	FBgn0034753	Drosophila melanogaster	CG2852 gene product from transcript CG2852-RD(CG2852)
Q8MSI7	FBgn0031436	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) B17.2 subunit(ND-B17.2)
Q9VPQ7	FBgn0031260	Drosophila melanogaster	Signal peptide peptidase(Spp)
Q7K1M4	FBgn0033434	Drosophila melanogaster	CG1902 gene product from transcript CG1902-RA(CG1902)
Q9W229	FBgn0261596	Drosophila melanogaster	Ribosomal protein S24(RpS24)
Q24496	FBgn0262866	Drosophila melanogaster	Ribosomal protein S6 kinase II(S6kII)
Q9VQ26	FBgn0051935	Drosophila melanogaster	CG31935 gene product from transcript CG31935-RA(CG31935)
Q7KNA0	FBgn0027607	Drosophila melanogaster	CG8230 gene product from transcript CG8230-RA(CG8230)
Q9VPQ2	FBgn0031256	Drosophila melanogaster	CG4164 gene product from transcript CG4164-RA(CG4164)
Q26454	FBgn0015929	Drosophila melanogaster	disc proliferation abnormal(dpa)
Q26459	FBgn0015766	Drosophila melanogaster	CG10596 gene product from transcript CG10596-RD(Msr-110)
Q9VQ40	FBgn0031361	Drosophila melanogaster	CG17652 gene product from transcript CG17652-RB(CG17652)
P10981	FBgn0000046	Drosophila melanogaster	Actin 87E(Act87E)
Q9NCC3	FBgn0040475	Drosophila melanogaster	SH3PX1 ortholog (H. sapiens)(SH3PX1)
Q9VYQ8	FBgn0030366	Drosophila melanogaster	Ubiquitin-specific protease 7(Usp7)
Q9VYQ9	FBgn0030365	Drosophila melanogaster	Transport and Golgi organization 4(Tango4)
P10987	FBgn0000042	Drosophila melanogaster	Actin 5C(Act5C)
P48159	FBgn0010078	Drosophila melanogaster	Ribosomal protein L23(RpL23)
Q9VZ23	FBgn0020255	Drosophila melanogaster	CG1404 gene product from transcript CG1404-RC(Ran)
Q9W237	FBgn0034743	Drosophila melanogaster	Ribosomal protein S16(RpS16)
Q9VPR7	FBgn0031268	Drosophila melanogaster	coiled(cold)
Q8IQ02	FBgn0031514	Drosophila melanogaster	CG3332 gene product from transcript CG3332-RB(CG3332)
A0AQH0	FBgn0010590	Drosophila melanogaster	Proteasome beta1 subunit(Prosbeta1)
Q9VQ35	FBgn0031357	Drosophila melanogaster	mitochondrial ribosomal protein L48(mRpL48)
Q8IQ03	FBgn0031566	Drosophila melanogaster	CG2818 gene product from transcript CG2818-RA(CG2818)
Q9VPR5	FBgn0031266	Drosophila melanogaster	CG2807 gene product from transcript CG2807-RB(CG2807)
Q9W1R5	FBgn0003977	Drosophila melanogaster	virilizer(vir)
Q9VQ34	FBgn0031356	Drosophila melanogaster	CG17660 gene product from transcript CG17660-RA(CG17660)
Q8IQ05	FBgn0015376	Drosophila melanogaster	CG33122 gene product from transcript CG33122-RA(cutlet)
Q9VPR1	FBgn0031263	Drosophila melanogaster	Translocator protein(Tspo)
P39736	FBgn0004856	Drosophila melanogaster	CG8264 gene product from transcript CG8264-RB(Bx42)
Q9Y1B2	FBgn0023180	Drosophila melanogaster	Origin recognition complex subunit 6(Orc6)
Q1NZ60	FBgn0001186	Drosophila melanogaster	Hexokinase A(Hex-A)
Q9VYT4	FBgn0030343	Drosophila melanogaster	CG1886 gene product from transcript CG1886-RC(ATP7)
Q9VYT6	FBgn0030341	Drosophila melanogaster	p24-related-1(p24-1)
Q9VZ56	FBgn0030245	Drosophila melanogaster	CG1637 gene product from transcript CG1637-RC(CG1637)
P48149	FBgn0010198	Drosophila melanogaster	Ribosomal protein S15Aa(RpS15Aa)
Q9VYT5	FBgn0030342	Drosophila melanogaster	CG10347 gene product from transcript CG10347-RB(CG10347)
Q9VZ55	FBgn0030246	Drosophila melanogaster	CG1582 gene product from transcript CG1582-RB(CG1582)
P48148	FBgn0014020	Drosophila melanogaster	CG8416 gene product from transcript CG8416-RB(Rho1)
Q9VCZ8	FBgn0038976	Drosophila melanogaster	CG7048 gene product from transcript CG7048-RB(CG7048)
Q8IPP2	FBgn0037297	Drosophila melanogaster	CG1116 gene product from transcript CG1116-RB(CG1116)
Q9Y1A3	FBgn0027359	Drosophila melanogaster	CG1728 gene product from transcript CG1728-RB(Tim8)
Q9VYS3	FBgn0030354	Drosophila melanogaster	CG1559 gene product from transcript CG1559-RA(Upf1)
Q9VPP7	FBgn0031253	Drosophila melanogaster	CG11885 gene product from transcript CG11885-RA(CG11885)
Q9VYS5	FBgn0030352	Drosophila melanogaster	severe impairment of CI with lengthened youth(sicily)
Q9VYS4	FBgn0260780	Drosophila melanogaster	wispy(wisp)
Q9VPP5	FBgn0031252	Drosophila melanogaster	CG13690 gene product from transcript CG13690-RA(CG13690)
Q9VQ14	FBgn0051661	Drosophila melanogaster	CG31661 gene product from transcript CG31661-RA(CG31661)
Q9VQ13	FBgn0051926	Drosophila melanogaster	CG31926 gene product from transcript CG31926-RB(CG31926)
Q8IQ25	FBgn0031190	Drosophila melanogaster	CG12576 gene product from transcript CG12576-RF(CG12576)
Q8IPQ6	FBgn0037329	Drosophila melanogaster	Polymerase (DNA-directed), delta interacting protein 2(POLDIP2)
Q9N9Z5	FBgn0267384	Drosophila melanogaster	Ubiquitin conjugating enzyme 7(Ubc7)
P91641	FBgn0013531	Drosophila melanogaster	Mediator complex subunit 20(MED20)
Q9W1V3	FBgn0003062	Drosophila melanogaster	Fibrillarin(Fib)
O18405	FBgn0019925	Drosophila melanogaster	Surfeit 4(Surf4)
O18404	FBgn0021765	Drosophila melanogaster	scully(scu)
O18407	FBgn0016075	Drosophila melanogaster	viking(vkg)
Q9VCX3	FBgn0263863	Drosophila melanogaster	mitochondrial ribosomal protein L45(mRpL45)
O18406	FBgn0021750	Drosophila melanogaster	Seryl-tRNA synthetase(Aats-ser)
Q9VCX4	FBgn0051159	Drosophila melanogaster	Elongation Factor G2(EF-G2)
Q8IGZ0	FBgn0044826	Drosophila melanogaster	CG14895 gene product from transcript CG14895-RD(Pak3)
Q8IPJ4	FBgn0028703	Drosophila melanogaster	Na[+]/H[+] hydrogen exchanger 3(Nhe3)
Q9VYV3	FBgn0030329	Drosophila melanogaster	pretaporter(prtp)
Q9VYV4	FBgn0030328	Drosophila melanogaster	CG2446 gene product from transcript CG2446-RB(Amun)
Q7K1Q7	FBgn0033485	Drosophila melanogaster	Ribosomal protein LP0-like(RpLP0-like)
P54398	FBgn0000640	Drosophila melanogaster	Fat body protein 2(Fbp2)
P54397	FBgn0013269	Drosophila melanogaster	FK506-binding protein 1(FK506-bp1)
P91656	FBgn0283472	Drosophila melanogaster	Ribosomal protein S6 kinase(S6k)
Q8IGX4	FBgn0036715	Drosophila melanogaster	Cadherin 74A(Cad74A)
Q7K231	FBgn0034109	Drosophila melanogaster	CG7747 gene product from transcript CG7747-RA(CG7747)
Q9VCY3	FBgn0028837	Drosophila melanogaster	COP9 signalosome subunit 6(CSN6)
Q9VCY2	FBgn0053107	Drosophila melanogaster	CG33107 gene product from transcript CG33107-RA(CG33107)
Q9VQ83	FBgn0031395	Drosophila melanogaster	CG10874 gene product from transcript CG10874-RB(CG10874)
Q9W282	FBgn0034703	Drosophila melanogaster	CG3045 gene product from transcript CG3045-RA(CG3045)
Q9VPW2	FBgn0031298	Drosophila melanogaster	Autophagy-related 4a(Atg4a)
Q9W281	FBgn0034704	Drosophila melanogaster	CG6758 gene product from transcript CG6758-RA(CG6758)
Q9VPW1	FBgn0015905	Drosophila melanogaster	asteroid(ast)
Q9VZ60	FBgn0030243	Drosophila melanogaster	CG2186 gene product from transcript CG2186-RB(CG2186)
O18415	FBgn0020616	Drosophila melanogaster	Stromalin(SA)
Q9W278	FBgn0034707	Drosophila melanogaster	Mediator complex subunit 16(MED16)
Q9W1V8	FBgn0010622	Drosophila melanogaster	Dynactin 3, p24 subunit(DCTN3-p24)
Q8IPK0	FBgn0266521	Drosophila melanogaster	stathmin(stai)
O18413	FBgn0020369	Drosophila melanogaster	Regulatory particle triple-A ATPase 6(Rpt6)
Q9W1V7	FBgn0034814	Drosophila melanogaster	CG9890 gene product from transcript CG9890-RA(CG9890)
Q9NJB4	FBgn0026250	Drosophila melanogaster	Eukaryotic initiation factor 1A(eIF-1A)
Q9VZ64	FBgn0030239	Drosophila melanogaster	CG17333 gene product from transcript CG17333-RA(CG17333)
Q7K237	FBgn0032078	Drosophila melanogaster	Core 1 Galactosyltransferase A(C1GalTA)
P17336	FBgn0000261	Drosophila melanogaster	Catalase(Cat)
P91622	FBgn0017558	Drosophila melanogaster	Pyruvate dehydrogenase kinase(Pdk)
Q9VD72	FBgn0260940	Drosophila melanogaster	larsen(lsn)
Q8IPL3	FBgn0083962	Drosophila melanogaster	CG34126 gene product from transcript CG34126-RE(CG34126)
Q9VCV3	FBgn0039013	Drosophila melanogaster	CG4813 gene product from transcript CG4813-RA(CG4813)
Q9W245	FBgn0034735	Drosophila melanogaster	CG4610 gene product from transcript CG4610-RA(CG4610)
Q9VYX1	FBgn0000618	Drosophila melanogaster	enhancer of yellow 2(e(y)2)
Q9VYX4	FBgn0027259	Drosophila melanogaster	kinetochore Mis12-Ndc80 network component 1(Kmn1)
Q7K206	FBgn0035906	Drosophila melanogaster	Glutathione S transferase O2(GstO2)
Q7K204	FBgn0037081	Drosophila melanogaster	barricade(barc)
Q9VYX8	FBgn0030309	Drosophila melanogaster	CG1572 gene product from transcript CG1572-RC(CG1572)
Q7K209	FBgn0033735	Drosophila melanogaster	CG8525 gene product from transcript CG8525-RA(CG8525)
P91634	FBgn0015279	Drosophila melanogaster	CG4141 gene product from transcript CG4141-RB(Pi3K92E)
P91632	FBgn0262737	Drosophila melanogaster	mushroom-body expressed(mub)
P39769	FBgn0004861	Drosophila melanogaster	polyhomeotic proximal(ph-p)
Q9VQ62	FBgn0031381	Drosophila melanogaster	Niemann-Pick type C-2a(Npc2a)
Q9VD81	FBgn0038903	Drosophila melanogaster	CG13418 gene product from transcript CG13418-RA(RpI12)
Q9W261	FBgn0034722	Drosophila melanogaster	CG10955 gene product from transcript CG10955-RB(Rtf1)
Q9VQ60	FBgn0031379	Drosophila melanogaster	CG7289 gene product from transcript CG7289-RA(CG7289)
Q9W252	FBgn0034728	Drosophila melanogaster	CG6339 gene product from transcript CG6339-RE(rad50)
Q9VPT3	FBgn0086130	Drosophila melanogaster	DEAD box protein 21E2(Dbp21E2)
Q9VZ82	FBgn0027085	Drosophila melanogaster	Leucyl-tRNA synthetase(Aats-leu)
Q9W258	FBgn0034724	Drosophila melanogaster	CG3624 gene product from transcript CG3624-RB(babos)
Q9VQ58	FBgn0031377	Drosophila melanogaster	CG15356 gene product from transcript CG15356-RA(CG15356)
Q9VYW3	FBgn0266421	Drosophila melanogaster	Replication protein A3(RPA3)
Q9VCW6	FBgn0046114	Drosophila melanogaster	Glutamate-cysteine ligase modifier subunit(Gclm)
Q8MSF2	FBgn0034726	Drosophila melanogaster	Mesoderm-expressed 4(Mes4)
P91638	FBgn0016983	Drosophila melanogaster	smallminded(smid)
Q7K1P7	FBgn0039229	Drosophila melanogaster	Scaffold attachment factor B(Saf-B)
Q9VYW5	FBgn0030320	Drosophila melanogaster	CG2247 gene product from transcript CG2247-RA(CG2247)
Q8MSF3	FBgn0037569	Drosophila melanogaster	CG9615 gene product from transcript CG9615-RA(tex)
Q9VQL2	FBgn0031498	Drosophila melanogaster	CG17260 gene product from transcript CG17260-RC(CG17260)
Q86NK9	FBgn0026428	Drosophila melanogaster	Histone deacetylase 6(HDAC6)
Q9Y0I1	FBgn0027378	Drosophila melanogaster	MORF-related gene 15(MRG15)
Q7JQH9	FBgn0261862	Drosophila melanogaster	withered(whd)
Q8IGD0	FBgn0028833	Drosophila melanogaster	CG6092 gene product from transcript CG6092-RA(Dak1)
Q95NH6	FBgn0041579	Drosophila melanogaster	Attacin-C(AttC)
Q9VYI6	FBgn0052649	Drosophila melanogaster	CG32649 gene product from transcript CG32649-RA(CG32649)
Q9U1J0	FBgn0029155	Drosophila melanogaster	Malic enzyme b(Men-b)
Q8IP67	FBgn0028540	Drosophila melanogaster	CG9008 gene product from transcript CG9008-RA(CG9008)
