# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
CG3011	FBgn0029823	Shmt
CG30118	FBgn0284257	Ttd14
CG30122	FBgn0050122	CG30122
CG30152	FBgn0034543	galla-1
CG3016	FBgn0029819	Usp30
CG30185	FBgn0050185	AIMP3
CG30190	FBgn0261564	ReepA
CG30194	FBgn0265188	CG44253
CG30194	FBgn0265187	Fatp2
CG30197	FBgn0050197	CG30197
CG30290	FBgn0050290	Ppcdc
CG30291	FBgn0050291	CG30291
CG3033	FBgn0029818	GAA1
CG30342	FBgn0050342	Prp38
CG30349	FBgn0050349	CG30349
CG30359	FBgn0050359	Mal-A5
CG30373	FBgn0050373	CG30373
CG30377	FBgn0050377	CG30377
CG30381	FBgn0050381	PIG-X
CG30387	FBgn0261554	CG42672
CG30389	FBgn0050389	CG30389
CG30392	FBgn0050392	CG30392
CG3040	FBgn0029925	CG3040
CG30410	FBgn0050410	Rpi
CG30415	FBgn0250838	roh
CG3045	FBgn0034703	CG3045
CG30491	FBgn0050491	CG30491
CG30492	FBgn0266410	CG45050
CG30492	FBgn0263077	CG43340
CG30492	FBgn0263046	CG43341
CG30493	FBgn0050493	Coq9
CG30497	FBgn0286778	CG46385
CG30503	FBgn0050503	CG30503
CG3061	FBgn0038195	CG3061
CG3074	FBgn0034709	Swim
CG3077	FBgn0031457	Snx21
CG3098	FBgn0051694	CG31694
CG31033	FBgn0039705	Atg16
CG31048	FBgn0264324	spg
CG3107	FBgn0033005	CG3107
CG3107	FBgn0033005	CG3107
CG31075	FBgn0051075	CG31075
CG31109	FBgn0051109	CG31109
CG31116	FBgn0051116	ClC-a
CG31126	FBgn0051126	CG31126
CG31133	FBgn0051133	Slimp
CG31142	FBgn0047114	CG31142
CG31145	FBgn0051145	CG31145
CG31156	FBgn0051156	CG31156
CG31159	FBgn0051159	mRRF2
CG31184	FBgn0051184	LSm3
CG31195	FBgn0051195	CG31195
CG31251	FBgn0051251	CG31251
CG31278	FBgn0051278	CG31278
CG31320	FBgn0051320	HEATR2
CG31326	FBgn0051326	CG31326
CG31360	FBgn0051360	CG31360
CG31368	FBgn0051368	CG31368
CG31373	FBgn0051373	CG31373
CG31413	FBgn0051413	Qsox4
CG31460	FBgn0051460	CG31460
CG31472	FBgn0051472	sgll
CG31510-RA	FBtr0084783	CG31510-RA
CG31531	FBgn0263346	smash
CG3160	FBgn0029789	PGAP1
CG31635	FBgn0051635	CG31635
CG31643	FBgn0051643	CG31643
CG31648	FBgn0051648	CG31648
CG31661	FBgn0051661	CG31661
CG31673	FBgn0051673	CG31673
CG3168	FBgn0029896	CG3168
CG31687	FBgn0051687	CG31687
CG31688	FBgn0263355	CG31688
CG31689	FBgn0031449	CG31689
CG31715	FBgn0051715	CG31715
CG31716	FBgn0051716	Cnot4
CG31717	FBgn0051717	CG31717
CG31729	FBgn0051729	CG31729
CG3173	FBgn0034964	IntS1
CG31731	FBgn0028539	Eato
CG31755	FBgn0051755	SoYb
CG31759	FBgn0051759	CG31759
CG31832	FBgn0051832	CG31832
CG3184	FBgn0029892	CG3184
CG3184	FBgn0265362	CG44303
CG31869	FBgn0051869	CG31869
CG31900	FBgn0263256	CG43394
CG31917	FBgn0031668	CG31917
CG31919	FBgn0264742	CG44000
CG31919	FBgn0264743	CG44001
CG3192	FBgn0029888	ND-ASHI
CG31926	FBgn0051926	CG31926
CG31935	FBgn0051935	CG31935
CG31938	FBgn0260648	Rrp40
CG31950-RA	FBtr0077630	Sbat-RA
CG31961	FBgn0051961	TBCC
CG3198	FBgn0029887	CG3198
CG32000	FBgn0052000	anne
CG32016	FBgn0052016	4E-T
CG32022	FBgn0052022	CG32022
CG32068	FBgn0052068	Adi1
CG32069	FBgn0052069	CG32069
CG3209	FBgn0034971	Gpat4
CG32103-RB	FBtr0075982	SCaMC-RB
CG32104	FBgn0052104	CG32104
CG32109	FBgn0052109	CG32109
CG32133	FBgn0052133	Ptip
CG3214	FBgn0031436	ND-B17.2
CG32147	FBgn0047178	CG32147
CG32165	FBgn0042178	Apl
CG32174	FBgn0052174	Coq4
CG32202	FBgn0052202	CG32202
CG3223	FBgn0037538	CG3223
CG32230	FBgn0052230	ND-MLRQ
CG3224	FBgn0029885	CG3224
CG32243	FBgn0052243	CG32243
CG3225	FBgn0031631	CG3225
CG32251	FBgn0052251	Claspin
CG3226	FBgn0029882	CG3226
CG32264	FBgn0052264	CG32264
CG32264	FBgn0052264	CG32264
CG32267	FBgn0052267	CG32267
CG32281	FBgn0052281	CG32281
CG3229	FBgn0051954	CG31954
CG3229	FBgn0284253	LeuRS
CG32306	FBgn0266696	Svil
CG32350	FBgn0052350	Vps11
CG32409	FBgn0052409	CG32409
CG32441	FBgn0052441	EMC10
CG3246	FBgn0031538	CG3246
CG32495	FBgn0052495	Gss2
CG32528	FBgn0052528	parvin
CG32549	FBgn0052549	CG32549
CG32576	FBgn0052576	CG32576
CG32602	FBgn0052602	Muc12Ea
CG3262	FBgn0032986	CG3262
CG3262	FBgn0032986	CG3262
CG32626	FBgn0052626	AMPdeam
CG32638	FBgn0052638	CG32638
CG32640	FBgn0052640	CG32640
CG32654	FBgn0052654	Sec16
CG32667	FBgn0052667	ssp7
CG32699	FBgn0052699	LPCAT
CG32708	FBgn0052708	CG32708
CG32737	FBgn0263993	CG43736
CG32758	FBgn0052758	Snx27
CG32776	FBgn0260658	CG42541
CG32786	FBgn0052786	Gem4b
CG3279	FBgn0260862	Vti1a
CG32795	FBgn0040384	CG32795
CG32795	FBgn0040384	CG32795
CG32850	FBgn0052850	CG32850
CG3287	FBgn0265003	koi
CG32920	FBgn0038571	CG7215
CG32920	FBgn0038570	Prx5
CG3295	FBgn0034573	CG3295
CG32955	FBgn0040233	cana
CG32955	FBgn0052831	CG33695
CG32972	FBgn0263038	CG43333
CG32972	FBgn0263037	CG43332
CG3303	FBgn0038381	EndoU
CG3305	FBgn0032949	Lamp1
CG33051	FBgn0053051	CG33051
CG33052	FBgn0053052	Gorab
CG33054	FBgn0053054	CG33054
CG33056	FBgn0053056	CG33056
CG3309	FBgn0029756	CG3309
CG33090	FBgn0028916	CG33090
CG33096	FBgn0053096	CG33096
CG33099-RA	FBtr0084288	CG33099-RA
CG33111	FBgn0053111	CG33111
CG33138	FBgn0053138	AGBE
CG33156	FBgn0053156	CG33156
CG33169	FBgn0053169	CG33169
CG33172	FBgn0053172	CG33172
CG33182	FBgn0053182	Kdm4B
CG33188	FBgn0266410	CG45050
CG33188	FBgn0263750	CG43675
CG33214	FBgn0264561	Glg1
CG33217	FBgn0053217	CG33217
CG33224	FBgn0259734	Nost
CG33228	FBgn0261373	CG33228
CG3326	FBgn0031519	Fign
CG33276	FBgn0053276	Urm1
CG33303	FBgn0053303	CG33303
CG3332	FBgn0031514	OtopLb
CG3335	FBgn0036018	CG3335
CG3338	FBgn0031598	Vps53
CG33493	FBgn0053493	CG33493
CG33506-RA	FBtr0091446	CG33506-RA
CG3353	FBgn0038869	Smyd5
CG3356	FBgn0034989	CG3356
CG3358	FBgn0033117	CG3358
CG3362	FBgn0034988	cN-IIIB
CG3363	FBgn0266083	ocm
CG3364	FBgn0029508	Tsp42Ea
CG3364	FBgn0050159	CG30159
CG33649	FBgn0064115	GatC
CG33672	FBgn0061360	CG33672
CG33714	FBgn0064117	SLIRP1
CG3376	FBgn0034997	CG3376
CG33936	FBgn0266410	CG45050
CG33936	FBgn0263750	CG43675
CG3394	FBgn0034999	Fatp3
CG33960	FBgn0264273	Sema2b
CG33966	FBgn0053966	CG33966
CG3397	FBgn0037975	CG3397
CG33977-RA	FBtr0100020	Dpm3-RA
CG34001	FBgn0054001	CG34001
CG34008-RA	FBtr0100063	CG34008-RA
CG3402	FBgn0035148	CG3402
CG34039	FBgn0054039	CG34039
CG3408	FBgn0036008	CG3408
CG34117	FBgn0083953	CG34117
CG34125	FBgn0083961	CG34125
CG34126	FBgn0083962	CG34126
CG3415	FBgn0030731	Mfe2
CG34150	FBgn0083986	CG34150
CG34159	FBgn0085188	CG34159
CG34191	FBgn0085220	Ufm1
CG3420	FBgn0033100	CG3420
CG34200	FBgn0085229	CG34200
CG34228	FBgn0085257	CG34228
CG34246	FBgn0263606	Hsc20
CG34252	FBgn0264746	CG44004
CG34252	FBgn0264747	CG44005
CG34252	FBgn0264748	CG44006
CG34253	FBgn0085282	CG34253
CG34261	FBgn0085290	CG34261
CG3430	FBgn0031875	CG3430
CG34325-RA	FBtr0112527	CG34325-RA
CG3434	FBgn0036000	CG3434
CG34348	FBgn0085377	CG34348
CG34352	FBgn0261260	mgl
CG3436	FBgn0031229	CG3436
CG3436	FBgn0031229	CG3436
CG34364	FBgn0261016	clos
CG3437	FBgn0035998	CG3437
CG34383	FBgn0085412	kmr
CG34394	FBgn0085423	GramD1B
CG34408	FBgn0085437	CG34408
CG34455-RC	FBtr0112761	Pdxk-RC
CG3446	FBgn0029868	ND-B16.6
CG3448	FBgn0035996	CG3448
CG3476	FBgn0031881	MME1
CG3493	FBgn0034854	Golgin245
CG3499	FBgn0034792	YME1L
CG3500	FBgn0034849	CG3500
CG3501	FBgn0034791	EMC8-9
CG3509	FBgn0038252	BigH1
CG3511	FBgn0035027	CG3511
CG3520	FBgn0034859	CG3520
CG3523	FBgn0283427	FASN1
CG3527	FBgn0029714	CG3527
CG3529	FBgn0035995	CG3529
CG3532-RB	FBtr0113224	GCC185-RB
CG3542	FBgn0031492	CG3542
CG3548	FBgn0035033	CG3548
CG3558	FBgn0025681	CG3558
CG3560	FBgn0030733	UQCR-14
CG3563	FBgn0263929	jvl
CG3566	FBgn0029854	CG3566
CG3570	FBgn0035035	Samtor
CG3589	FBgn0035065	CG3589
CG3590	FBgn0038467	AdSL
CG3603	FBgn0029648	CG3603
CG3605	FBgn0031493	Sf3b2
CG3608	FBgn0035039	Adck1
CG3609	FBgn0031418	CG3609
CG3621-RA	FBtr0070386	ND-B14.5A-RA
CG3624	FBgn0034724	babos
CG3626	FBgn0029706	CG3626
CG3632	FBgn0030735	CG3632
CG3634	FBgn0037026	CG3634
CG3645	FBgn0031238	CG3645
CG3662	FBgn0031285	CG3662
CG3663	FBgn0035044	CG3663
CG3678	FBgn0038461	EMC2B
CG3679	FBgn0027521	CG3679
CG3680	FBgn0037027	HIPP1
CG3683	FBgn0035046	ND-19
CG3689	FBgn0035987	Cpsf5
CG3699	FBgn0040349	CG3699
CG3702	FBgn0031590	CG3702
CG3714	FBgn0031589	Naprt
CG3731	FBgn0038271	UQCR-C1
CG3756	FBgn0031657	CG3756
CG3760	FBgn0022343	CG3760
CG3760	FBgn0022343	CG3760
CG3773	FBgn0038692	Gdn1
CG3774	FBgn0029849	Efr
CG3792	FBgn0031662	CG3792
CG3800	FBgn0034802	CNBP
CG3803	FBgn0034938	CG3803
CG3808	FBgn0036838	CG3808
CG3815	FBgn0029861	CG3815
CG3817	FBgn0038275	CG3817
CG3837	FBgn0038279	Sdr
CG3842	FBgn0029866	CG3842
CG3847	FBgn0029867	CG3847
CG3860	FBgn0034951	CG3860
CG3887	FBgn0031670	SelT
CG3902	FBgn0036824	CG3902
CG3909	FBgn0027524	CG3909
CG3911	FBgn0260859	Bet3
CG3925	FBgn0037780	ohgt
CG3947	FBgn0037019	Pex16
CG3967	FBgn0035989	Tat
CG3980	FBgn0031575	Cep97
CG3983	FBgn0038473	Ns1
CG3984	FBgn0038291	CG3984
CG3995	FBgn0038472	CG3995
CG40002	FBgn0058002	ND-AGGG
CG40006	FBgn0058006	CG40006
CG40042	FBgn0267976	Tim23
CG40045	FBgn0058045	CG40045
CG40160	FBgn0058160	CG40160
CG40228	FBgn0063670	CG40228
CG4030	FBgn0034585	Rbpn-5
CG4036	FBgn0032149	CG4036
CG4038	FBgn0011824	CG4038
CG4041	FBgn0029736	CG4041
CG4042	FBgn0037018	CG4042
CG4045	FBgn0025629	CG4045
CG4045	FBgn0085397	Fili
CG40451	FBgn0263977	Tim17b
CG4049	FBgn0034976	CG4049
CG4061	FBgn0025630	Rtca
CG40625	FBgn0267363	JYalpha
CG4065	FBgn0034982	Naa35
CG4066	FBgn0038011	CG4066
CG4068	FBgn0266000	CG44774
CG4069	FBgn0036301	CG4069
CG4074	FBgn0037017	CG4074
CG4078	FBgn0029798	CG4078
CG4091	FBgn0034894	sigmar
CG4098	FBgn0036648	CG4098
CG41099	FBgn0039955	CG41099
CG41128	FBgn0069923	CG41128
CG41555	FBgn0085686	CG41555
CG41582	FBgn0085708	CG41582
CG4159	FBgn0038811	Pus1
CG4164	FBgn0031256	shv
CG4164	FBgn0262510	CR43080
CG4165	FBgn0029763	Usp16-45
CG4169	FBgn0250814	UQCR-C2
CG4186	FBgn0040634	CG4186
CG4199	FBgn0025628	CG4199
CG4210	FBgn0038302	CG4210
CG42232	FBgn0250754	CG42232
CG4224	FBgn0051183	CG31183
CG4225	FBgn0038376	Hmt-1
CG42270	FBgn0261570	raskol
CG42307	FBgn0259203	CG42307
CG42314	FBgn0259214	PMCA
CG42321	FBgn0259221	ATP8A
CG42321	FBgn0259221	ATP8A
CG42327	FBgn0259227	CG42327
CG42336	FBgn0259238	CG42336
CG42351	FBgn0259682	Jabba
CG42358	FBgn0259704	Nsun5
CG42360	FBgn0259742	CG42360
CG42371	FBgn0259717	CG42371
CG42373	FBgn0265968	Tfb5
CG42374	FBgn0259720	CG42374
CG42375	FBgn0259721	CG42375
CG42376	FBgn0259722	CG42376
CG42389	FBgn0259735	mtgo
CG4266	FBgn0034598	CG4266
CG4267	FBgn0264979	CG4267
CG4279	FBgn0261067	LSm1
CG4289	FBgn0037020	Pex14
CG4291	FBgn0031287	CG4291
CG4300	FBgn0036272	Sms
CG4331	FBgn0052645	CG32645
CG4332	FBgn0030456	CG4332
CG4338	FBgn0038313	CG4338
CG4364	FBgn0032138	CG4364
CG4365	FBgn0037024	tzn
CG4389	FBgn0028479	Mtpalpha
CG4390	FBgn0038771	CG4390
CG4398	FBgn0034126	jtb
CG4406	FBgn0023545	PIG-K
CG4407	FBgn0030431	CG4407
CG4408	FBgn0039073	CG4408
CG4410	FBgn0052650	CG32650
CG4410	FBgn0052649	Coq8
CG4420	FBgn0030753	rngo
CG4447	FBgn0035980	mRRF1
CG4449	FBgn0039065	Rad60
CG4452	FBgn0035981	CG4452
CG4476	FBgn0035969	CG4476
CG4495	FBgn0031893	MICU1
CG4502	FBgn0031896	CG4502
CG4511	FBgn0037843	CG4511
CG4538	FBgn0038745	ClpX
CG4552	FBgn0031304	TBC1D23
CG4554	FBgn0034734	CG4554
CG4557	FBgn0029912	CG4557
CG4567	FBgn0263133	mEFG1
CG4572	FBgn0038738	CG4572
CG4573	FBgn0036629	GluRS-m
CG4585	FBgn0025335	Cpes
CG4586	FBgn0029924	CG4586
CG4592	FBgn0032162	CG4592
CG4593	FBgn0029929	CG4593
CG4594	FBgn0032161	CG4594
CG4598	FBgn0032160	CG4598
CG4603	FBgn0035593	CG4603
CG4610	FBgn0034735	CG4610
CG4611	FBgn0035591	CG4611
CG4612	FBgn0035016	CG4612
CG4617	FBgn0029936	CG4617
CG4618	FBgn0035589	CHMP2B
CG4619	FBgn0032166	CG4619
CG4622	FBgn0035021	CG4622
CG4638	FBgn0053158	CG33158
CG4643	FBgn0043010	Fsn
CG4645	FBgn0030435	CG4645
CG4646	FBgn0033810	CG4646
CG4658	FBgn0032170	CG4658
CG4666	FBgn0029838	CG4666
CG4670	FBgn0033814	Qsox1
CG4673	FBgn0039348	Npl4
CG4679	FBgn0033816	CG4679
CG4685	FBgn0039349	Ssadh
CG4686	FBgn0038739	CG4686
CG4688	FBgn0033817	GstE14
CG4692	FBgn0035032	ATPsynF
CG4699	FBgn0262527	nsl1
CG4721	FBgn0039024	Nepl15
CG4729	FBgn0036623	Agpat3
CG4738	FBgn0262647	Nup160
CG4747	FBgn0043456	Ndf
CG4749	FBgn0283525	l(2)10685
CG4752	FBgn0034733	CG4752
CG4753	FBgn0036622	Agpat4
CG4764	FBgn0031310	Vps29
CG4769	FBgn0035600	Cyt-c1
CG4771	FBgn0263143	vret
CG4780	FBgn0260856	Membrin
CG4785	FBgn0031314	IntS14
CG4789	FBgn0030792	CG4789
CG4802	FBgn0034215	Mtap
CG4806	FBgn0260456	CG4806
CG4806	FBgn0261373	CG33228
CG4813	FBgn0039013	CG4813
CG4825	FBgn0287585	Pss
CG4827	FBgn0034225	veil
CG4842	FBgn0036620	CG4842
CG4847	FBgn0034229	CG4847
CG4848	FBgn0037998	Cog1
CG4849	FBgn0039566	CG4849
CG4858	FBgn0037011	CG4858
CG4860	FBgn0037999	CG4860
CG4872	FBgn0030799	CG4872
CG4877	FBgn0036624	RAF2
CG4880	FBgn0030803	CG4880
CG4882	FBgn0025336	CG4882
CG4884	FBgn0039565	CG4884
CG4896	FBgn0031319	CG4896
CG4901	FBgn0032194	CG4901
CG4908	FBgn0032195	CG4908
CG4925	FBgn0036614	Golgin104
CG4933	FBgn0283681	Tcs3
CG4936	FBgn0038768	CG4936
CG4951	FBgn0039563	CG4951
CG4953	FBgn0032204	CG4953
CG4957	FBgn0032205	CG4957
CG4966-RB	FBtr0086839	HPS4-RB
CG4968	FBgn0032214	CG4968
CG4972	FBgn0032217	CG4972
CG4973	FBgn0038772	mdlc
CG4975	FBgn0034266	CG4975
CG4980	FBgn0039558	BCAS2
CG4991	FBgn0030817	CG4991
CG4998	FBgn0036612	CG4998
CG5003	FBgn0039554	CG5003
CG5009	FBgn0027572	CG5009
CG5010	FBgn0260747	Chchd2
CG5018	FBgn0263605	l(3)72Dn
CG5021	FBgn0035944	CG5021
CG5023	FBgn0038774	CG5023
CG5026	FBgn0035945	CG5026
CG5028	FBgn0039358	CG5028
CG5044	FBgn0038326	CG5044
CG5045	FBgn0032229	ClpP
CG5065	FBgn0034145	CG5065
CG5068	FBgn0035951	CG5068
CG5073	FBgn0038331	Ccm3
CG5077	FBgn0261550	CG42668
CG5080	FBgn0031313	CG5080
CG5087	FBgn0035953	CG5087
CG5098	FBgn0034300	CG5098
CG5110	FBgn0032642	CG5110
CG5112	FBgn0039341	CG5112
CG5114	FBgn0036460	CG5114
CG5116	FBgn0039339	CG5116
CG5126	FBgn0031320	CG5126
CG5127	FBgn0039335	Vps33B
CG5131	FBgn0032644	CG5131
CG5144	FBgn0035957	CG5144
CG5147-RA	FBtr0075136	RpIIIC53-RA
CG5149	FBgn0031904	CG5149
CG5162	FBgn0030828	CG5162
CG5167	FBgn0038038	Sccpdh2
CG5168	FBgn0032246	Wdfy2
CG5174	FBgn0034345	CG5174
CG5181	FBgn0031909	CG5181
CG5188	FBgn0032247	CG5188
CG5189	FBgn0034350	CG5189
CG5190	FBgn0034351	rswl
CG5191	FBgn0038803	CG5191
CG5196	FBgn0038039	CG5196
CG5198	FBgn0032250	holn1
CG5205	FBgn0038344	obe
CG5214	FBgn0037891	CG5214
CG5220	FBgn0038471	Trm7-32
CG5222	FBgn0036570	IntS9
CG5224	FBgn0034354	GstE11
CG5226-RA	unknown ID	-
CG5235	FBgn0036565	CG5235
CG5261	FBgn0283658	muc
CG5274	FBgn0036987	CG5274
CG5276	FBgn0037900	CG5276
CG5284	FBgn0036566	ClC-c
CG5287	FBgn0032477	Alg7
CG5288	FBgn0263199	Galk
CG5290	FBgn0036772	CG5290
CG5292	FBgn0038491	CG5292
CG5316	FBgn0038704	CG5316
CG5317	FBgn0032404	RpL7-like
CG5323	FBgn0034362	CG5323
CG5325	FBgn0032407	Pex19
CG5335-RA	FBtr0086708	CG5335-RA
CG5339	FBgn0034925	CG5339
CG5343	FBgn0032248	Bug22
CG5355	FBgn0032242	CG5355
CG5360	FBgn0261786	mi
CG5362	FBgn0262782	Mdh1
CG5367	FBgn0032228	CG5367
CG5377	FBgn0038974	CG5377
CG5380	FBgn0038951	CG5380
CG5382	FBgn0038950	CG5382
CG5384	FBgn0032216	Usp14
CG5385-RA	FBtr0080062	l(2)SH0834-RA
CG5389	FBgn0036568	ATPsynbetaL
CG5397	FBgn0031327	CG5397
CG5412	FBgn0038806	CG5412
CG5414	FBgn0036569	IleRS-m
CG5446	FBgn0032429	CG5446
CG5447	FBgn0039427	CG5447
CG5451	FBgn0038666	Smu1
CG5463	FBgn0039153	GatB
CG5482	FBgn0034368	zda
CG5484	FBgn0039450	Yif1
CG5491	FBgn0039459	IntS12
CG5508	FBgn0027579	mino
CG5510	FBgn0039160	CG5510
CG5515	FBgn0039163	CG5515
CG5521	FBgn0039466	CG5521
CG5524	FBgn0266282	jnj
CG5525	FBgn0032444	CCT4
CG5535	FBgn0036764	CG5535
CG5537	FBgn0035639	kri
CG5543	FBgn0034908	CG5543
CG5548	FBgn0030605	ND-B18
CG5554	FBgn0034914	CG5554
CG5555	FBgn0038686	CG5555
CG5567	FBgn0036760	CG5567
CG5568	FBgn0035641	CG5568
CG5569	FBgn0034919	CG5569
CG5585-RA	FBtr0078242	Rbbp5-RA
CG5589	FBgn0036754	CG5589
CG5590	FBgn0039537	CG5590
CG5599	FBgn0030612	CG5599
CG5602	FBgn0262619	DNAlig1
CG5604	FBgn0032208	Ufd4
CG5608	FBgn0038058	CG5608
CG5611	FBgn0039531	CG5611
CG5613	FBgn0030839	CG5613
CG5625	FBgn0034708	Vps35
CG5626	FBgn0036266	Tsen54
CG5629	FBgn0261285	Ppcs
CG5630	FBgn0038842	hdly
CG5640	FBgn0260749	Utx
CG5641	FBgn0038046	CG5641
CG5642	FBgn0036258	eIF3l
CG5644	FBgn0035948	CG5644
CG5660	FBgn0035942	ValRS-m
CG5664	FBgn0037082	CG5664
CG5676	FBgn0032200	CG5676
CG5691	FBgn0265988	mv
CG5703	FBgn0030853	ND-24
CG5705	FBgn0032486	mRF1
CG5706	FBgn0039175	beta-PheRS
CG5721	FBgn0034315	CG5721
CG5726	FBgn0034313	CG5726
CG5728	FBgn0039182	CG5728
CG5741	FBgn0264305	CG43783
CG5741	FBgn0264307	orb2
CG5745	FBgn0038855	CG5745
CG5757	FBgn0034299	CG5757
CG5776	FBgn0032450	CG5776
CG5787	FBgn0032454	CG5787
CG5789	FBgn0039207	CG5789
CG5791	FBgn0040582	BomBc3
CG5792	FBgn0032455	Pih1D1
CG5793	FBgn0038858	CG5793
CG5794	FBgn0039214	puf
CG5798	FBgn0038862	Usp8
CG5800	FBgn0030855	CG5800
CG5802	FBgn0250820	meigo
CG5823	FBgn0038515	CG5823
CG5828	FBgn0031682	CG5828
CG5844	FBgn0038049	Srlp
CG5853	FBgn0032167	CG5853
CG5854	FBgn0039130	CG5854
CG5859-RA	FBtr0087036	IntS8-RA
CG5861	FBgn0015338	CG5861
CG5862	FBgn0038868	CG5862
CG5871	FBgn0038870	Oga
CG5886	FBgn0039379	CG5886
CG5899	FBgn0032157	Etl1
CG5902	FBgn0039136	CG5902
CG5903	FBgn0038400	CG5903
CG5913	FBgn0039385	CG5913
CG5919	FBgn0038876	Idi
CG5931	FBgn0263599	l(3)72Ab
CG5933	FBgn0039139	Mettl3
CG5941	FBgn0029833	MCTS1
CG5946	FBgn0036211	CG5946
CG5946	FBgn0036211	CG5946
CG5961	FBgn0038056	CG5961
CG5966	FBgn0029831	CG5966
CG5969	FBgn0036998	CG5969
CG5970	FBgn0033842	cbc
CG5973	FBgn0031914	CG5973
CG5978	FBgn0035916	GAPsec
CG5991	FBgn0026576	Pisd
CG6001	FBgn0261995	CG42813
CG6001	FBgn0051064	CG31064
CG6001	FBgn0261996	CG42814
CG6001	FBgn0261995	CG42813
CG6001	FBgn0051064	CG31064
CG6001	FBgn0261996	CG42814
CG6013	FBgn0038675	CG6013
CG6015	FBgn0038927	CG6015
CG6016	FBgn0033844	bbc
CG6020	FBgn0037001	ND-39
CG6028	FBgn0038924	CG6028
CG6038	FBgn0036198	crim
CG6045	FBgn0038349	AOX3
CG6049	FBgn0037081	barc
CG6073	FBgn0039417	CG6073
CG6084	FBgn0086254	Akr1B
CG6089	FBgn0053129	CG33129
CG6091	FBgn0036180	Duba
CG6094	FBgn0032261	CG6094
CG6115	FBgn0040985	CG6115
CG6126	FBgn0038407	CG6126
CG6133	FBgn0026079	Nsun2
CG6136	FBgn0038332	CG6136
CG6144	FBgn0032259	CG6144
CG6151	FBgn0261722	fwe
CG6153	FBgn0032445	CG6153
CG6166	FBgn0053970	osy
CG6178	FBgn0039156	CG6178
CG6179	FBgn0030915	CG6179
CG6180	FBgn0032453	CG6180
CG6192	FBgn0032341	Reps
CG6194	FBgn0038325	Atg4b
CG6195	FBgn0038723	CG6195
CG6196	FBgn0266722	Trs33
CG6197	FBgn0033859	fand
CG6199	FBgn0036147	Plod
CG6204	FBgn0039165	CG6204
CG6206	FBgn0027611	LManII
CG6208	FBgn0266721	gammaSnap2
CG6218	FBgn0038321	CG6218
CG6227	FBgn0030631	CG6227
CG6236	FBgn0038318	CG6236
CG6259	FBgn0036740	Vps60
CG6276	FBgn0038316	CG6276
CG6287	FBgn0032350	CG6287
CG6293	FBgn0037807	CG6293
CG6316	FBgn0052069	CG32069
CG6316	FBgn0052075	CG32075
CG6321	FBgn0036117	CG6321
CG6322	FBgn0036733	U4-U6-60K
CG6327	FBgn0263776	CG43693
CG6330	FBgn0039464	CG6330
CG6340	FBgn0030648	CG6340
CG6357	FBgn0033875	CG6357
CG6359	FBgn0038065	Snx3
CG6364	FBgn0263398	Uck
CG6370	FBgn0034277	OstDelta
CG6388	FBgn0032430	CG6388
CG6393	FBgn0265192	Snp
CG6398	FBgn0030870	CG6398
CG6406	FBgn0034269	Hyccin
CG6409	FBgn0036106	CG6409
CG6410	FBgn0034265	Snx16
CG6412	FBgn0032646	mEFTs
CG6418	FBgn0036104	CG6418
CG6422	FBgn0039261	Ythdf
CG6428	FBgn0029689	CG6428
CG6439	FBgn0038922	Idh3b
CG6444-RA	FBtr0080112	Dpy-30L1-RA
CG6453	FBgn0032643	GCS2beta
CG6454	FBgn0039187	CG6454
CG6455	FBgn0019960	Mitofilin
CG6459	FBgn0034259	P32
CG6461	FBgn0030932	Ggt-1
CG6479	FBgn0036710	CG6479
CG6488	FBgn0287204	Cog8
CG6491	FBgn0052066	CG32066
CG6498	FBgn0267390	dop
CG6503	FBgn0040606	CG6503
CG6509	FBgn0032363	Dlg5
CG6511	FBgn0035923	CG6511
CG6512	FBgn0036702	CG6512
CG6522	FBgn0034223	Tes
CG6523	FBgn0032509	CG6523
CG6540	FBgn0030943	Nup35
CG6543	FBgn0033879	Echs1
CG6550	FBgn0034214	CG6550
CG6567	FBgn0037842	CG6567
CG6568	FBgn0034210	Camp
CG6597	FBgn0036967	SCCRO4
CG6607	FBgn0039204	CG6607
CG6613	FBgn0034694	Plekhm1
CG6617	FBgn0030944	CG6617
CG6621	FBgn0037855	CG6621
CG6623	FBgn0038303	SIDL
CG6637-RA	FBtr0084135	lsn-RA
CG6638	FBgn0035911	CG6638
CG6643	FBgn0266758	Esyt2
CG6662	FBgn0035907	GstO1
CG6664	FBgn0036685	CG6664
CG6666	FBgn0037873	SdhC
CG6673	FBgn0035906	GstO2
CG6674	FBgn0036063	CG6674
CG6686	FBgn0032388	CG6686
CG6687	FBgn0038299	Spn88Eb
CG6693	FBgn0037878	CG6693
CG6697	FBgn0027526	Ublcp1
CG6701	FBgn0033889	CG6701
CG6704	FBgn0033887	St4
CG6707	FBgn0036058	CG6707
CG6712	FBgn0032408	CG6712
CG6718	FBgn0036053	iPLA2-VIA
CG6719	FBgn0264694	mgr
CG6724	FBgn0032298	CG6724
CG6726	FBgn0039049	CG6726
CG6729	FBgn0032296	CG6729
CG6745	FBgn0035901	Pus7
CG6746	FBgn0032394	Hacd1
CG6750	FBgn0032292	EMC3
CG6751	FBgn0263510	nclb
CG6758	FBgn0034704	CG6758
CG6764	FBgn0037899	RpL24-like
